"Kontenklasse","Kontengruppe","Kontenart","Konto","Unterkonto","Bereichsabgrenzung","Bezeichnung"
0,,,,,,"Immaterielle Vermögensgegenstände und Sachvermögen"
,"00",,,,,"Immaterielle Vermögensgegenstände"
,,1,,,,"Konzessionen"
,,2,,,,"Lizenzen"
,,,"0025",,,"DV-Software"
,,"003",,,,"Ähnliche Rechte"
,,8,,,,"Sonstiges immaterielles Vermögen"
,,9,,,,"Anzahlungen auf immaterielle Vermögensgegenstände"
,"01",,,,,"Unbebaute Grundstücke und grundstücksgleiche Rechte"
,,"[011]",,,,"Grünflächen"
,,,"[0111]",,,"Grund und Boden bei Grünflächen"
,,,"[0112]",,,"Aufwuchs, Aufbauten und Ausstattung bei Grünflächen"
,,"[012]",,,,"Ackerland"
,,"[013]",,,,"Wald, Forsten"
,,,"[0131]",,,"Grund und Boden bei Wald, Forsten"
,,,"[0132]",,,"Aufwuchs bei Wald, Forsten"
,,"[019]",,,,"Sonstige unbebaute Grundstücke"
,"02",,,,,"Bebaute Grundstücke und grundstücksgleiche Rechte"
,,"[021]",,,,"Grundstücke mit Wohnbauten"
,,,"[0211]",,,"Grund und Boden bei Wohnbauten"
,,,"[0212]",,,"Gebäude, Aufbauten und Betriebsvorrichtungen bei Wohnbauten"
,,"[022]",,,,"Grundstücke mit sozialen Einrichtungen"
,,,"[0221]",,,"Grund und Boden bei sozialen Einrichtungen"
,,,"[0222]",,,"Gebäude, Aufbauten und Betriebsvorrichtungen bei Sozialen Einrichtungen"
,,"[023]",,,,"Grundstücke mit Schulen"
,,,"[0231]",,,"Grund und Boden mit Schulen"
,,,"[0232]",,,"Gebäude, Aufbauten und Betriebsvorrichtungen bei Schulen"
,,"[024]",,,,"Grundstücke mit Kultur-, Sport-, Freizeit- und Gartenanlagen"
,,,"[0241]",,,"Grund und Boden mit Kultur-, Sport-, Freizeit- und Gartenanlagen"
,,,"[0242]",,,"Gebäude, Aufbauten und Betriebsvorrichtungen bei Kultur-, Sport-, Freizeit- und Gartenanlagen"
,,"[029]",,,,"Grundstücke mit sonstigen Dienst-, Geschäfts- und anderen Betriebsgebäuden"
,,,"[0291]",,,"Grund und Boden mit sonstigen Dienst-, Geschäfts- und anderen Betriebsgebäuden"
,,,"[0292]",,,"Gebäude, Aufbauten und Betriebsvorrichtungen bei sonstigen Dienst-, Geschäfts- und anderen Betriebsgebäuden"
,"03",,,,,"Infrastrukturvermögen und grundstücksgleiche Rechte"
,,"[031]",,,,"Grund und Boden des Infrastrukturvermögens"
,,"[032]",,,,"Brücken, Tunnel und ingenieurbauliche Anlagen"
,,"[033]",,,,"Gleisanlagen mit Streckenausrüstung und Sicherheitsanlagen"
,,"[034]",,,,"Abwasserbeseitigungs- und Abfallentsorgungsanlagen"
,,,"[0341]",,,"Anlagen zur Abwasserableitung"
,,,"[0342]",,,"Anlagen zur Abwasserreinigung"
,,,"[0343]",,,"Anlagen zur Abfallentsorgung"
,,"[035]",,,,"Straßen, Wege, Plätze, Verkehrslenkungsanlagen"
,,"[036]",,,,"Strom-, Gas-, Wasserleitungen und zugehörige Anlagen"
,,"[037]",,,,"Wasserbauliche Anlagen "
,,"[038]",,,,"Friedhöfe und Bestattungseinrichtungen "
,,"[039]",,,,"Sonstige Bauten des Infrastrukturvermögens"
,"04",,,,,"Bauten auf fremdem Grund und Boden"
,,"[041]",,,,"Bauten auf fremdem Grund und Boden"
,"05",,,,,"Kunstgegenstände, Kulturdenkmäler"
,,"[051]",,,,"Kunstgegenstände"
,,"[055]",,,,"Baudenkmäler
"
,,"[056]",,,,"Bodendenkmäler"
,,"[059]",,,,"Sonstige Kulturdenkmäler"
,"06",,,,,"Maschinen und technische Anlagen, Fahrzeuge"
,,"[061]",,,,"Fahrzeuge"
,,"[062]",,,,"Maschinen "
,,"[063]",,,,"Technische Anlagen"
,"07",,,,,"Betriebs- und Geschäftsausstattung"
,,"[071]",,,,"Betriebsvorrichtungen"
,,"[072]",,,,"Betriebs- und Geschäftsausstattung"
,,"[073]",,,,"Nutzpflanzungen und Nutztiere"
,,,"[0731]",,,"Nutzpflanzungen"
,,,"[0732]",,,"Nutztiere"
,,"[075]",,,,"Geringwertige Vermögensgegenstände"
,"08",,,,,"Vorräte"
,,"[081]",,,,"Rohstoffe/Fertigungsmaterial"
,,"[082]",,,,"Hilfsstoffe"
,,"[083]",,,,"Betriebsstoffe"
,,"[084]",,,,"Waren"
,,"[085]",,,,"Unfertige/fertige Erzeugnisse"
,,"[086]",,,,"Unfertige Leistungen"
,,"[087]",,,,"Geleistete Anzahlungen auf Vorräte"
,,"[089]",,,,"Sonstige Vorräte"
,"09",,,,,"Geleistete Anzahlungen, Anlagen im Bau"
,,"091",,,,"Geleistete Anzahlungen auf Sachanlagen"
,,"[092]",,,,"WE/RE-Verrechnungskonto"
,,"[093]",,,,"Skontoverrechnungskonto"
,,"[094]",,,,"Anlagenverrechnungskonto"
,,"096",,,,"Anlagen im Bau"
1,,,,,,"Finanzvermögen und aktive Rechnungsabgrenzung"
,10,,,,,"Anteile an verbundenen Unternehmen"
,,101,,,,"Anteile an verbundenen Unternehmen"
,,,"1011",,,"Börsennotierte Aktien"
,,,"1012",,,"Nichtbörsennotierte Aktien"
,,,"1013",,,"Sonstige Anteilsrechte"
,11,,,,,"Beteiligungen"
,,"111",,,,"Beteiligungen"
,,,1111,,,"Börsennotierte Aktien"
,,,1112,,,"Nichtbörsennotierte Aktien"
,,,1113,,,"Beteiligungen an Zweckverbänden und sonstige Anteilsrechte"
,12,,,,,"Sondervermögen"
,,"121",,,,"Sondervermögen"
,13,,,,,"Ausleihungen"
,,"131",,,,"Ausleihungen"
,,,"131-",,"B und Cv","Ausleihungen"
,14,,,,,"Wertpapiere und sonstige Einlagen"
,,"141",,,,"Investmentzertifikate "
